Municipio,SE,Casos,Mediana,Q1,Q3
São Domingos do Norte,32,2.0,0.0,0.0,0.0
São Domingos do Norte,33,2.0,0.0,0.0,0.0
São Domingos do Norte,34,1.0,0.0,0.0,0.25
São Domingos do Norte,35,2.0,0.0,0.0,1.25
São Domingos do Norte,36,0.0,0.0,0.0,1.0
São Domingos do Norte,37,,0.0,0.0,0.25
São Domingos do Norte,38,,0.0,0.0,0.0
São Domingos do Norte,39,,0.0,0.0,0.0
São Domingos do Norte,40,,0.5,0.0,1.0
São Domingos do Norte,41,,0.0,0.0,0.0
São Domingos do Norte,42,,0.0,0.0,0.25
São Domingos do Norte,43,,0.0,0.0,1.0
São Domingos do Norte,44,,0.0,0.0,0.0
